15623	bobcat
15624	bobs
15625	bock
15626	bode
15631	body
15632	bog
15633	bogart
15634	bogey
15635	bogs
15636	bogus
15641	boil
15642	boils
15643	boise
15644	bold
15645	bolo
15646	bolt
15651	bolts
15652	bomb
15653	bombay
15654	bombs
15655	bon
15656	bonanza
15661	bond
15662	bone
15663	bones
15664	bongo
15665	bonjour
15666	bonus
16111	bony
16112	boo
16113	booby
16114	boogie
16115	book
16116	books
16121	boom
16122	boon
16123	boost
16124	boot
16125	booth
16126	boots
16131	booty
16132	booze
16133	bop
16134	borax
16135	border
16136	bore
16141	bored
16142	bores
16143	boric
16144	boris
16145	born
16146	borne
16151	boron
16152	bosch
16153	bosom
16154	boson
16155	boss
16156	bossy
16161	boston
16162	botanic
16163	botch
16164	both
16165	bottle
16166	bough
16211	bouncy
16212	bound
16213	bourn
16214	bout
16215	bovine
16216	bow
16221	bowed
16222	bowel
16223	bowie
16224	bowl
16225	bowls
16226	bows
16231	box
16232	boxed
16233	boxer
16234	boxes
16235	boxy
16236	boy
16241	boyle
16242	boys
16243	bozo
16244	bra
16245	brace
16246	brad
16251	brady
16252	brag
16253	brags
16254	braid
16255	brain
16256	brainy
16261	brake
16262	bran
16263	brand
16264	brandt
16265	brandy
16266	brant
16311	brash
16312	brass
16313	brassy
16314	brat
16315	brats
16316	braun
16321	brave
16322	bravo
16323	brawl
16324	brawn
16325	brazil
16326	bread
16331	break
16332	breath
16333	bred
16334	breed
16335	breeze
16336	bremen
16341	brenda
16342	breve
16343	brew
16344	brian
16345	briar
16346	bribe
16351	brice
16352	brick
16353	bride
16354	bridge
16355	brief
16356	brig
16361	brigade
16362	brim
16363	brine
16364	bring
16365	brink
16366	briny
16411	brisk
16412	british
16413	broad
16414	brock
16415	broil
16416	broke
16421	broken
16422	bronco
16423	bronx
16424	bronze
16425	brood
16426	brook
16431	broom
16432	brother
16433	brown
16434	brows
16435	browse
16436	bruce
16441	bruin
16442	brunch
16443	bruno
16444	brunt
16445	brush
16446	brutal
16451	brute
16452	bryan
16453	bryant
16454	bryce
16455	buck
16456	bucket
16461	bucks
16462	bud
16463	buddha
16464	buddy
16465	budge
16466	budget
16511	buds
16512	buenos
16513	buff
16514	buffalo
16515	bug
16516	buggy
16521	bugle
16522	bugs
16523	build
16524	built
16525	bulb
16526	bulbs
16531	bulge
16532	bulk
16533	bulky
16534	bull
16535	bulls
16536	bully
16541	bum
16542	bump
16543	bumps
16544	bumpy
16545	bums
16546	bun
16551	bunch
16552	bunco
16553	bundle
16554	bunk
16555	bunny
16556	buns
16561	bunt
16562	bunts
16563	bunyan
16564	buoy
16565	burch
16566	bureau
16611	burger
16612	buried
16613	burly
16614	burma
16615	burn
16616	burns
16621	burnt
16622	burp
16623	burps
16624	burro
16625	burst
16626	burton
16631	bury
16632	bus
16633	bush
16634	bushel
16635	bushy
16636	bust
16641	busy
16642	but
16643	butane
16644	butch
16645	butte
16646	button
16651	butyl
16652	buxom
16653	buy
16654	buyer
16655	buys
16656	buzz
16661	buzzer
16662	buzzy
16663	bye
16664	bylaw
16665	byline
16666	bypass
21111	byron
21112	byte
21113	bytes
21114	cab
21115	cabal
21116	cabana
21121	cabaret
21122	cabin
21123	cabinet
21124	cable
21125	cacao
21126	cache
21131	cackle
21132	cacti
21133	cactus
21134	caddy
21135	cadet
21136	cadre
21141	cafe
21142	cage
21143	caged
21144	cages
21145	cagey
21146	cairn
21151	cairo
21152	cajun
21153	cake
21154	cakes
21155	caleb
21156	calf
21161	calibre
21162	calico
21163	california
21164	call
21165	calls
21166	callus
21211	calm
21212	calms
21213	calve
21214	calvin
21215	calypso
21216	cam
21221	camber
21222	came
21223	camel
21224	cameo
21225	camera
21226	camilla
21231	camp
21232	camps
21233	campus
21234	can
21235	canada
21236	canal
21241	canary
21242	cancer
21243	candid
21244	candle
21245	candy
21246	cane
21251	caned
21252	cannon
21253	cannot
21254	canny
21255	canoe
21256	canon
21261	canopy
21262	cans
21263	cantina
21264	canvas
21265	canyon
21266	cap
21311	cape
21312	caped
21313	caper
21314	capital
21315	capri
21316	capsule
21321	car
21322	carat
21323	caravan
21324	carbon
21325	card
21326	care
21331	career
21332	cares
21333	caress
21334	caret
21335	cargo
21336	carl
21341	carla
21342	carlo
21343	carmen
21344	carol
21345	carolina
21346	carp
21351	carpet
21352	carrie
21353	carrot
21354	carry
21355	cars
21356	carson
21361	cart
21362	cartel
21363	cartoon
21364	carve
21365	case
21366	cases
21411	casey
21412	cash
21413	cashew
21414	casino
21415	cask
21416	casket
21421	cast
21422	caste
21423	castle
21424	castro
21425	cat
21426	catalog
21431	catch
21432	cathy
21433	cats
21434	catty
21435	caulk
21436	cause
21441	cave
21442	cavern
21443	caves
21444	caviar
21445	cavort
21446	caw
21451	cease
21452	cecil
21453	cedar
21454	cede
21455	celery
21456	cell
21461	cello
21462	celtic
21463	cement
21464	census
21465	cent
21466	center
21511	cents
21512	century
21513	ceramic
21514	ceres
21515	cern
21516	chad
21521	chafe
21522	chaff
21523	chai
21524	chain
21525	chair
21526	chalk
21531	chamber
21532	champ
21533	chance
21534	change
21535	channel
21536	chant
21541	chaos
21542	chap
21543	chapel
21544	chapter
21545	char
21546	chard
21551	chariot
21552	charlie
21553	charm
21554	chart
21555	charter
21556	chase
21561	chasm
21562	chaste
21563	chat
21564	chats
21565	cheap
21566	cheat
21611	check
21612	cheek
21613	cheeky
21614	cheer
21615	cheese
21616	chef
21621	chemist
21622	cherry
21623	cherub
21624	chess
21625	chest
21626	chevy
21631	chew
21632	chews
21633	chewy
21634	chic
21635	chicago
21636	chick
21641	chicken
21642	chide
21643	chief
21644	child
21645	chile
21646	chili
21651	chill
21652	chilly
21653	chime
21654	chimp
21655	chin
21656	china
21661	chink
21662	chip
21663	chips
21664	chirp
21665	chisel
21666	chit
22111	chive
22112	chloe
22113	chock
22114	choice
22115	choir
22116	choke
22121	chomp
22122	chop
22123	chopin
22124	chops
22125	choral
22126	chord
22131	chore
22132	chose
22133	chosen
22134	chow
22135	chris
22136	chrome
22141	chuck
22142	chug
22143	chum
22144	chump
22145	chunk
22146	churn
22151	chute
22152	ciao
22153	cicada
22154	cider
22155	cigar
22156	cilia
22161	cinch
22162	cindy
22163	cinema
22164	cipher
22165	circa
22166	circle
22211	circus
22212	cite
22213	citizen
22214	citrus
22215	city
22216	civic
22221	civil
22222	clad
22223	claim
22224	clam
22225	clammy
22226	clamp
22231	clan
22232	clang
22233	clank
22234	clap
22235	claps
22236	clara
22241	clarion
22242	clark
22243	clash
22244	clasp
22245	class
22246	classic
22251	claudia
22252	claus
22253	clause
22254	claw
22255	claws
22256	clay
22261	clean
22262	clear
22263	cleat
22264	clef
22265	cleft
22266	clerk
22311	clever
22312	cliche
22313	click
22314	client
22315	cliff
22316	climax
22321	climb
22322	cling
22323	clinic
22324	clink
22325	clip
22326	clive
22331	cloak
22332	clock
22333	clod
22334	clog
22335	clomp
22336	clone
22341	close
22342	closet
22343	clot
22344	cloth
22345	cloud
22346	clout
22351	clown
22352	cloy
22353	club
22354	clubs
22355	cluck
22356	clue
22361	clues
22362	clump
22363	clumsy
22364	clung
22365	coach
22366	coal
